as_of_date,target
2023-03-31,1126644.06
2023-06-30,1233737.72
2023-09-30,1197424.48
2023-12-31,1162351.49
2024-03-31,1223619.33
2024-06-30,830238.36
2024-09-30,889367.76
2024-12-31,894000.48
