as_of_date,target
2024-06-06,0.00
2024-06-30,374657.31
2024-09-30,635704.93
2024-12-31,666351.17
2025-03-31,674378.29
2025-06-30,685784.12
2025-09-30,688153.49
2025-12-31,699094.84
