as_of_date,target
2020-09-30,1278965.19
2020-12-31,2280475.19
2021-03-31,2212567.74
2021-06-30,2146122.93
2021-09-30,2198177.52
2021-12-31,1872729.54
2022-03-31,1866759.89
2022-06-30,646029.36
2022-09-30,491309.31
2022-12-31,99227.98
2023-03-31,106441.85
2023-06-30,2570616.67
2023-09-30,2675370.03
2023-12-31,2703198.11
2024-03-31,2715987.67
2024-06-30,2304175.71
2024-09-30,2222464.75
2024-12-31,2113829.82
2025-03-31,1966035.87
2025-06-30,564208.83
2025-09-30,566941.92
2025-12-31,544999.12
