index,FX,GrowthPct,IncomePct,ExpensePct,BaseValueUSD,marketValuesUSD,UnrealizedGain,RealizedGain,Invest,Dispose,Financial Income - UB Dividend,Bank Fees,Tax
2024,4.0543000000000005,0,0,0,246651.7031300101,7504378.067730558,0,0,0,0,0,0,0
2025,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2026,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2027,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2028,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2029,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2030,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2031,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2032,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2033,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2034,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2035,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2036,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2037,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2038,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2039,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2040,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2041,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2042,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2043,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2044,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2045,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2046,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2047,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2048,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2049,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2050,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2051,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2052,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2053,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2054,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2055,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2056,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2057,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2058,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2059,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2060,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2061,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2062,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2063,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2064,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2065,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2066,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2067,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2068,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2069,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2070,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2071,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2072,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
2073,3.8,0,5,0,263157.89473684214,8006578.947368422,0,0,0,0,400328.94736842107,0,-100082.23684210527
