index,2024,2025,2026,2027,2028,2029,2030
Taxes,0,0,0,0,0,0,0
Purchases,0,-33986.212199999994,-35175.72962699999,-35055.12286767499,-35756.22532502849,-36471.34983152906,-37200.77682815964
Total Salary,0,0,0,0,0,0,0
Bank Accounts,0,-33986.212199999994,-35175.72962699999,-35055.12286767499,-35756.22532502849,-36471.34983152906,-37200.77682815964
