FX,GrowthPct,IncomePct,ExpensePct,BaseValue,MarketValue,UnrealizedGain,RealizedGain,Invest,Dispose,Dividends,Fees
4,0,0,0,100000,150000,0,0,0,0,0,0
3.6,3.5,17.5,0.035,100500,155750,5250.000000000001,0,500,0,26753.125,53.50625000000001
3.6,3.5,17.5,0.035,87594.70304975924,141201.25,5451.250000000001,7094.7030497592295,0,-20000,25983.234375,51.966468750000004
3.6,2.5,12.5,0.025,88094.70304975924,145231.28125,3530.03125,0,500,0,17902.033203125,35.80406640625
4,2,10,0.02,88094.70304975924,148135.906875,2904.625625,0,0,0,14668.359406249998,29.3367188125
4,2,10,0.02,88094.70304975924,151098.62501249998,1481.3590687499964,61522.56289399075,0,149617.26594374998,14961.726594374999,29.923453188749995
4,0,0,0.02,0,0,0,0,0,0,0,15.109862501249998
