index,FX,GrowthPct,IncomePct,ExpensePct,BaseValueUSD,marketValuesUSD,UnrealizedGain,RealizedGain,Invest,Dispose,Financial Income - UB Dividend,Bank Fees,Tax
2024,4.0543000000000005,0,0,0,246651.7031300101,7504378.067730558,0,0,0,0,0,0,0
2025,3.6,3.5,5.25,-0.035,277916.6666666667,8747326.388888888,295798.6111111111,0,138.88888888888889,0,451466.2760416666,-3009.775173611111,-112866.56901041666
2026,3.6,3.5,5.25,-0.035,277740.15770691837,9047927.256944444,306156.4236111111,5379.046595807272,0,-5555.555555555556,467125.408203125,-3114.169388020833,-118126.11369973308
2027,3.6,2.5,3.75,-0.025,277879.04659580725,9274264.327256944,226198.1814236111,0,138.88888888888889,0,343541.092203776,-2290.273948025174,-85885.273050944
2028,4,2,3,-0.02,250091.14193622654,8513774.652421875,166936.757890625,0,0,0,252909.1882042969,-1686.0612546953128,-63227.29705107422
2029,4,2,3,-0.02,250091.14193622654,8684050.145470312,85137.74652421847,8348821.257009867,0,8598912.398946093,257967.37196838282,-1719.7824797892185,-2151697.157244562
2030,4,0,0,0,0,0,0,0,0,0,0,0,0
