index,2024,2025,2026,2027,2028,2029,2030
Travel,0,-123457.8015,-127778.8245525,-130973.29516631248,-133592.76106963874,-136264.61629103153,-138989.90861685216
Taxes,0,0,0,0,0,0,0
Bank Accounts,0,-123457.8015,-127778.8245525,-130973.29516631248,-133592.76106963874,-136264.61629103153,-138989.90861685216
