index,FX,GrowthPct,IncomePct,ExpensePct,BaseValue,MarketValue,UnrealizedGain,RealizedGain,Invest,Dispose,Financial Income - Dividend,Interest Expense,Tax
2024,1,0,0,0,108000,226778,0,0,0,0,0,0,0
2025,1,7,10.5,0,115500,250152.46,15874.460000000001,0,7500,0,25038.849150000002,0,-6259.7122875000005
2026,1,7,10.5,0,115500,267663.1322,17510.6722,0,0,0,27185.318590499995,0,-6796.329647624999
2027,1,5,7.5,0,115500,281046.28881,13383.15661,0,0,0,20576.603287874997,0,-5144.150821968749
2028,1,4,6,0,115500,292288.1403624,11241.8515524,0,0,0,17200.032875171997,0,-4300.008218792999
2029,1,4,6,0,115500,303979.66597689595,11691.525614495999,0,0,0,17888.034190178878,0,-4472.0085475447195
2030,1,4,6,0,115500,316138.8526159718,12159.186639075839,0,0,0,18603.555557786032,0,-4650.888889446508
