index,2024,2025,2026,2027,2028,2029,2030
Travel,0,0,0,0,0,0,0
Taxes,0,-146533.05404999998,-151661.71094174997,0,0,0,0
Bank Accounts,0,-146533.05404999998,-151661.71094174997,0,0,0,0
