index,FX,GrowthPct,IncomePct,ExpensePct,BaseValue,MarketValue,UnrealizedGain,RealizedGain,Invest,Dispose,Dividends,Bank Fees,Tax
2024,1,0,0,0,633000,894778,0,0,0,0,0,0,0
2025,1,12.25,5.25,-0.35000000000000003,633500,1004888.3049999999,109610.305,0,500,0,49866.240506250004,-3324.41603375,0
2026,1,12.25,5.25,-0.35000000000000003,632239.1633540804,1125987.1223624998,123098.81736249999,739.1633540804319,0,-2000,55935.47996826562,-3729.031997884375,-184.79083852010797
2027,1,8.75,3.75,-0.25,632239.1633540804,1224510.9955692186,98523.87320671872,0,0,0,44071.83971121973,-2938.122647414648,0
2028,1,7,3,-0.2,632239.1633540804,1310226.765259064,85715.76968984531,0,0,0,38021.06641242424,-2534.7377608282827,0
2029,1,7,3,-0.2,632239.1633540804,1401942.6388271984,45857.93678406719,723845.5386890508,0,1356084.7020431312,40682.54106129394,-2712.1694040862626,-180961.3846722627
2030,1,0,0,0,0,0,0,0,0,0,0,0,0
