index,FX,GrowthPct,IncomePct,ExpensePct,BaseValueUSD,marketValuesUSD,UnrealizedGain,RealizedGain,Invest,Dispose,Rental - Spain,Property - Other,Tax
2024,0.9507500000000001,0,0,0,420720.4838285564,420720.4838285564,0,0,0,0,0,0,0
2025,0.9,3.5,3.5,-17.5,444444.44444444444,460000,15555.555555555557,0,0,0,15827.777777777777,-79138.88888888889,0
2026,0.9,3.5,3.5,-17.5,444444.44444444444,476100,16100.000000000002,0,0,0,16381.75,-81908.75,0
2027,0.9,2.5,2.5,-12.5,444444.44444444444,488002.5,5951.25,37606.805555555555,0,482051.25,12051.28125,-60256.40625,-9401.701388888889
2028,0.95,0,0,0,0,0,0,0,0,0,0,0,0
2029,0.95,0,0,0,0,0,0,0,0,0,0,0,0
2030,0.95,0,0,0,0,0,0,0,0,0,0,0,0
