index,FX,GrowthPct,IncomePct,ExpensePct,BaseValue,MarketValue,UnrealizedGain,RealizedGain,Invest,Dispose,Financial Income - UB Dividend,Bank Fees,Tax
2025,3.5994000000000006,0,0,0,1000000,27642000,0,0,0,0,0,0,0
2026,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2027,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2028,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2029,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2030,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2031,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2032,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2033,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2034,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2035,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2036,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2037,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2038,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2039,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2040,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2041,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2042,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2043,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2044,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2045,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2046,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2047,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2048,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2049,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2050,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2051,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2052,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2053,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2054,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2055,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2056,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2057,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2058,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2059,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2060,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2061,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2062,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2063,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2064,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2065,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2066,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2067,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2068,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2069,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2070,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2071,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2072,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2073,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2074,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
2075,4,0,5,0,1000000,27642000,0,0,0,0,1382100,0,-345525
