index,FX,GrowthPct,IncomePct,ExpensePct,BaseValueUSD,marketValuesUSD,UnrealizedGain,RealizedGain,Invest,Dispose,Financial Income - Dividend,Bank Fees,Tax
2024,1,0,0,0,700000,893789,0,0,0,0,0,0,0
2025,1,1,2.5,0,700000,902726.89,8937.89,0,0,0,22456.448625000005,0,-5614.112156250001
2026,1,1,2.5,0,700000,911754.1589,9027.268900000001,0,0,0,22681.01311125,0,-5670.2532778125
2027,1,1,2.5,0,700000,920871.7004890001,9117.541589,0,0,0,22907.8232423625,0,-5726.955810590625
2028,1,1,2.5,0,700000,930080.41749389,9208.71700489,0,0,0,23136.901474786126,0,-5784.225368696531
2029,1,1,2.5,0,700000,939381.221668829,9300.804174938901,0,0,0,23368.270489533985,0,-5842.067622383496
2030,1,1,2.5,0,700000,948775.0338855173,9393.81221668829,0,0,0,23601.95319442933,0,-5900.488298607333
2031,1,1,2.5,0,700000,958262.7842243725,9487.750338855172,0,0,0,23837.97272637362,0,-5959.493181593405
2032,1,1,2.5,0,700000,967845.4120666162,9582.627842243724,0,0,0,24076.35245363736,0,-6019.08811340934
2033,1,1,2.5,0,700000,977523.8661872824,9678.454120666163,0,0,0,24317.11597817373,0,-6079.278994543432
2034,1,1,2.5,0,700000,987299.1048491552,9775.238661872823,0,0,0,24560.28713795547,0,-6140.071784488868
2035,1,1,2.5,0,700000,997172.0958976467,9872.991048491553,0,0,0,24805.890009335024,0,-6201.472502333756
2036,1,1,2.5,0,700000,1007143.8168566232,9971.720958976468,0,0,0,25053.94890942837,0,-6263.487227357093
