index,FX,GrowthPct,IncomePct,ExpensePct,BaseValueUSD,marketValuesUSD,UnrealizedGain,RealizedGain,Invest,Dispose,Financial Income - BC Holding,Bank Fees,Tax
2024,NaN,0,0,0,0,0,0,0,0,0,0,0,0
2025,3.6,0,0,0,13888.888888888889,13888.888888888889,0,0,13888.888888888889,0,0,0,0
2026,3.6,0,0,0,13888.888888888889,13888.888888888889,0,0,0,0,0,0,0
2027,3.6,0,0,0,13888.888888888889,13888.888888888889,0,0,0,0,0,0,0
2028,4,0,0,0,12500,12500,0,0,0,0,0,0,0
2029,4,0,0,0,12500,12500,0,0,0,0,0,0,0
2030,4,0,0,0,12500,12500,0,0,0,0,0,0,0
