index,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
Bank Accounts,0,17188.125,18219.4125,19218.826875,20081.330325000003,20884.583538,21719.96687952,22588.7655547008,23492.316176888842,24432.008823964392,25409.289176922972,26425.660743999884,27482.687173759885,28581.99466071028,29725.27444713869,30914.285425024238,32150.856842025212,33436.89111570621,34774.36676033446,36165.34143074784,37611.95508797776,39116.43329149686,40681.090623156735,42308.334248083,44000.66761800634,45760.69432272659,47591.12209563566,49494.76697946108,51474.55765863951,53533.53996498509,55674.88156358451,57901.87682612789,60217.951899173,62626.669975139914,65131.736774145524,67737.00624511133,70446.48649491579,73264.34595471242,76194.91979290091,79242.71658461695,82412.42524800164,85708.92225792169,89137.27914823855,92702.77031416811,96410.88112673484,100267.31637180422,104278.00902667639,108449.12938774347,112787.09456325321,117298.57834578335,121990.52147961468,126870.14233879924
Transfer - Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fidelity Stock,890000,943400,1000004,1050004.2,1092004.368,1135684.54272,1181111.9244288001,1228356.4014059522,1277490.6574621904,1328590.283760678,1381733.8951111052,1437003.2509155495,1494483.3809521715,1554262.7161902583,1616433.2248378687,1681090.5538313834,1748334.1759846387,1818267.5430240242,1890998.2447449851,1966638.1745347846,2045303.701516176,2127115.849576823,2212200.483559896,2300688.5029022917,2392716.0430183834,2488424.684739119,2587961.672128684,2691480.139013831,2799139.3445743844,2911104.9183573597,3027549.115091654,3148651.07969532,3274597.122883133,3405581.0077984584,3541804.248110397,3683476.4180348124,3830815.474756205,3984048.093746453,4143410.017496311,4309146.418196163,4481512.27492401,4660772.765920971,4847203.676557809,5041091.823620122,5242735.496564927,5452444.916427524,5670542.713084625,5897364.42160801,6133258.998472331,6378589.358411225,6633732.932747673,6899082.25005758
PL Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Income - UB Dividend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Income - Dividend,0,22917.5,24292.55,25625.1025,26775.1071,27846.111384,28959.955839360002,30118.3540729344,31323.08823585179,32576.011765285857,33879.052235897296,35234.21432533318,36643.58289834651,38109.32621428037,39633.69926285159,41219.04723336565,42867.80912270028,44582.52148760828,46365.82234711261,48220.45524099712,50149.27345063701,52155.24438866248,54241.45416420898,56411.11233077734,58667.55682400845,61014.25909696878,63454.82946084755,65993.02263928144,68632.74354485268,71378.05328664678,74233.17541811267,77202.50243483718,80290.60253223067,83502.22663351988,86842.3156988607,90316.0083268151,93928.64865988772,97685.79460628323,101593.22639053455,105656.95544615593,109883.23366400218,114278.56301056225,118849.70553098473,123603.69375222415,128547.84150231311,133689.75516240564,139037.34536890185,144598.83918365795,150382.79275100428,156398.10446104445,162654.02863948623,169160.18978506565
Option Trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bank Fees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxes US,0,-5729.375,-6073.1375,-6406.275625,-6693.776775,-6961.527846,-7239.9889598400005,-7529.5885182336,-7830.772058962947,-8144.002941321464,-8469.763058974324,-8808.553581333295,-9160.895724586628,-9527.331553570093,-9908.424815712897,-10304.761808341413,-10716.95228067507,-11145.63037190207,-11591.455586778153,-12055.11381024928,-12537.318362659253,-13038.81109716562,-13560.363541052246,-14102.778082694334,-14666.889206002112,-15253.564774242195,-15863.707365211887,-16498.25565982036,-17158.18588621317,-17844.513321661696,-18558.29385452817,-19300.625608709295,-20072.650633057667,-20875.55665837997,-21710.578924715173,-22579.002081703777,-23482.16216497193,-24421.44865157081,-25398.306597633637,-26414.238861538983,-27470.808416000546,-28569.640752640564,-29712.426382746184,-30900.923438056037,-32136.960375578277,-33422.43879060141,-34759.33634222546,-36149.70979591449,-37595.69818775107,-39099.52611526111,-40663.50715987156,-42290.04744626641
