index,FX,GrowthPct,IncomePct,ExpensePct,BaseValueUSD,marketValuesUSD,UnrealizedGain,RealizedGain,Invest,Dispose,Financial Income - UB Dividend,Bank Fees,Tax
2025,3.5994000000000006,0,0,0,277824.08179140964,7679613.268878146,0,0,0,0,0,0,0
2026,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2027,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2028,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2029,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2030,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2031,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2032,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2033,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2034,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2035,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2036,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2037,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2038,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2039,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2040,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2041,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2042,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2043,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2044,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2045,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2046,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2047,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2048,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2049,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2050,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2051,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2052,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2053,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2054,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2055,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2056,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2057,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2058,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2059,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2060,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2061,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2062,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2063,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2064,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2065,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2066,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2067,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2068,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2069,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2070,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2071,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2072,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2073,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2074,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
2075,4,0,5,0,250000,6910500,0,0,0,0,345525,0,-86381.25
