index,FX,GrowthPct,IncomePct,ExpensePct,BaseValue,MarketValue,UnrealizedGain,RealizedGain,Invest,Dispose,Financial Income - UB Dividend,Bank Fees,Tax
2024,4.0543000000000005,0,0,0,1000000,30425000,0,0,0,0,0,0,0
2025,3.6,3.5,5.25,-0.035,1000500,31490375,1064875,0,500,0,1625278.59375,-10835.190625,-406319.6484375
2026,3.6,3.5,5.25,-0.035,999864.5677449062,32572538.125,1102163.125,19364.56774490618,0,-20000,1681651.46953125,-11211.009796875,-425254.00931903906
2027,3.6,2.5,3.75,-0.025,1000364.5677449062,33387351.578125,814313.453125,0,500,0,1236747.9319335937,-8244.986212890626,-309186.9829833984
2028,4,2,3,-0.02,1000364.5677449062,34055098.6096875,667747.0315625,0,0,0,1011636.7528171876,-6744.245018781251,-252909.1882042969
2029,4,2,3,-0.02,1000364.5677449062,34736200.58188125,340550.9860968739,33395285.028039467,0,34395649.59578437,1031869.4878735313,-6879.129919156874,-8606788.628978249
2030,4,0,0,0,0,0,0,0,0,0,0,0,0
